区域,小区名称,户型,面积,价格(万),单价(元/平米),性质,朝向,装修,是否有电梯,楼层,建筑年代,楼型
东城,和平里六区 ,3室1厅,123.4,1180,95624,房本满五年,东北,精装,有电梯,底层(共17层)1998年建塔楼,,-
东城,建予园 ,2室1厅,77.75,580,74599,房本满五年,西南,简装,有电梯,中楼层(共16层)2001年建塔楼,,-
东城,豆瓣胡同 ,2室1厅,69.35,920,132661,房本满五年,西南,精装,有电梯,顶层(共21层)2003年建板楼,,-
东城,豆瓣胡同 ,2室1厅,70.83,940,132713,房本满五年,南北,精装,有电梯,中楼层(共10层)2003年建板楼,,-
东城,体育馆西路甲53号院 ,2室1厅,71.87,660,91833,房本满五年,南北,精装,无,高楼层(共6层)1980年建板楼,,-
东城,东花市北里中区 ,4室3厅,184.3,1410,76506,房本满五年,东南北,简装,无电梯,顶层(共5层)1994年建板楼,,-
东城,富贵园一区 ,3室2厅,161.16,2000,124101,房本满五年,东南北,简装,有电梯,中楼层(共9层)2003年建板楼,,-
东城,民安小区东直门内北小街 ,4室2厅,142.18,1350,94951,房本满五年,东,简装,有电梯,高楼层(共16层)2003年建板楼,,-
东城,富贵园二区 ,2室1厅,80.83,710,87839,房本满五年,东北,精装,有电梯,低楼层(共18层)2003年建塔楼,,-
东城,本家润园三期 ,2室1厅,69.74,687,98509,房本满五年,东,简装,有电梯,高楼层(共18层)2005年建板塔结合,,-
东城,绿景苑 ,3室1厅,89.53,890,99409,房本满五年,南西北,简装,有电梯,高楼层(共18层)2002年建塔楼,,-
东城,兴隆都市馨园 ,3室2厅,92.1,970,105321,房本满五年,东,简装,无电梯,低楼层(共6层)2003年建板塔结合,,-
东城,新奥洋房 ,4室1厅,263.27,1800,68371,房本满五年,东南北,精装,有电梯,顶层(共6层)2006年建板楼,,-
东城,花市枣苑一期 ,3室2厅,141.93,1500,105686,房本满五年,南西,简装,有电梯,高楼层(共18层)2002年建板塔结合,,-
东城,民安小区东直门内北小街 ,2室1厅,75.09,830,110535,房本满五年,东,简装,有电梯,高楼层(共14层)2003年建板楼,,-
东城,安外西河沿 ,2室1厅,63.7,590,92622,房本满五年,东西,简装,无,顶层(共11层)1983年建板楼,,-
东城,丽水湾畔家园 ,3室2厅,139.91,1399,99993,房本满五年,南北,简装,有电梯,中楼层(共21层)2002年建塔楼,,-
东城,鸿安国际大厦 ,4室2厅,242.45,1560,64344,房本满五年,东西,其他,有电梯,高楼层(共12层)2002年建板塔结合,,-
东城,礼士胡同甲66号院 ,2室1厅,60.96,615,100886,房本满五年,东西北,精装,无,中楼层(共5层)1980年建板楼,,-
东城,交道口北二条35号院 ,3室1厅,65.96,830,125834,房本满五年,南北,简装,无电梯,底层(共6层)1988年建板楼,,-
东城,民安小区东直门内北小街 ,2室1厅,74.47,830,111455,房本满五年,南北,简装,有电梯,高楼层(共16层)2003年建板楼,,-
东城,民安小区东直门内北小街 ,4室1厅,118.46,1160,97924,,东西北,毛坯,有电梯,底层(共16层)2003年建板楼,,-
东城,交道口东大街 ,2室1厅,77.8,990,127250,,东南,精装,有电梯,中楼层(共12层)2003年建板塔结合,,-
东城,民安小区东直门内北小街 ,2室1厅,74.47,830,111455,房本满五年,南北,简装,有电梯,高楼层(共16层)2003年建板楼,,-
东城,朝阳门内大街 ,3室1厅,86.1,795,92335,房本满五年,南北,精装,无电梯,中楼层(共5层)1988年建板楼,,-
东城,交道口东大街 ,2室1厅,77.8,990,127250,房本满五年,东南,精装,有电梯,中楼层(共12层)2003年建板塔结合,,-
东城,仓夹道 ,3室1厅,88.45,1110,125495,房本满五年,东南北,精装,有电梯,低楼层(共23层)2003年建塔楼,,-
东城,朝阳首府 ,2室2厅,124.24,1290,103832,房本满五年,西南,精装,有电梯,中楼层(共11层)2009年建板楼,,-
东城,东方银座 ,2室1厅,107.45,920,85622,房本满五年,南,精装,有电梯,中楼层(共25层)2003年建塔楼,,-
东城,建国门北大街5号 ,3室1厅,177.56,1060,59699,房本满五年,东南,精装,有电梯,低楼层(共24层)2008年建塔楼,,-
东城,察慈小区 ,2室1厅,64.56,550,85193,房本满五年,东西,简装,有电梯,低楼层(共12层)1990年建板塔结合,,-
东城,青年湖南街 ,3室1厅,78.97,950,120299,房本满五年,南西北,毛坯,有电梯,低楼层(共14层)1996年建板塔结合,,-
东城,广渠家园 ,2室1厅,61.14,560,91594,房本满五年,东北,简装,有电梯,高楼层(共29层)2009年建板塔结合,,-
东城,水上华城 ,2室1厅,102.54,1100,107276,房本满五年,东北,精装,有电梯,低楼层(共23层)2005年建板塔结合,,-
东城,东花市北里西区 ,2室1厅,65.73,660,100411,房本满五年,西,其他,无电梯,中楼层(共6层)1995年建塔楼,,-
东城,鸿安国际大厦 ,3室1厅,206.7,1350,65313,房本满五年,东西,简装,有电梯,中楼层(共13层)2003年建板塔结合,,-
东城,新景家园东区 ,1室1厅,66.87,700,104681,房本满五年,东西,精装,有电梯,高楼层(共15层)2008年建板塔结合,,-
东城,海运仓小区 ,1室1厅,47.87,580,121162,房本满五年,南,精装,无电梯,中楼层(共7层)2003年建板楼,,-
东城,安外大街80号院 ,2室1厅,55.15,545,98822,房本满五年,南北,精装,无电梯,高楼层(共6层)1990年建板楼,,-
东城,国瑞城东区 ,1室1厅,58.18,610,104848,房本满五年,南,简装,有电梯,中楼层(共16层)2006年建板塔结合,,-
东城,绿景馨园 ,2室2厅,53.65,616,114819,房本满五年,南北,精装,无电梯,顶层(共6层)2004年建板楼,,-
东城,朝阳门南小街 ,3室1厅,102.98,1100,106817,房本满五年,东西,精装,有电梯,中楼层(共9层)2003年建板楼,,-
东城,新世界中心 ,1室1厅,100.06,580,57966,房本满五年,西,精装,有电梯,中楼层(共16层)1996年建塔楼,,-
东城,幸福南里 ,3室2厅,125.03,1100,87979,房本满五年,南北,精装,无电梯,顶层(共4层)1965年建板楼,,-
东城,金世纪嘉园 ,2室1厅,84.51,813,96202,房本满五年,西南,简装,有电梯,中楼层(共21层)2005年建塔楼,,-
东城,新奥洋房 ,2室1厅,95.47,720,75417,房本满五年,东西,简装,有电梯,中楼层(共9层)2005年建板塔结合,,-
东城,桃杨路北里 ,2室1厅,57.3,458,79931,房本满五年,东西,简装,无电梯,高楼层(共6层)1987年建板楼,,-
东城,北京上舍 ,3室2厅,133.06,1410,105968,房本满五年,西南,精装,有电梯,高楼层(共15层)2008年建塔楼,,-
东城,新景家园西区 ,2室1厅,81.16,860,105964,,南北,简装,有电梯,低楼层(共17层)2004年建板塔结合,,-
东城,青年湖南里 ,2室1厅,56.56,590,104315,,南,简装,无,中楼层(共12层)1990年建板塔结合,,-
东城,花市枣苑三期 ,3室1厅,126.45,1360,107553,,南,精装,有电梯,中楼层(共17层)2005年建塔楼,,-
东城,仓南胡同14号院 ,3室1厅,83.51,1040,124536,,南北,精装,无电梯,顶层(共6层)1993年建板楼,,-
东城,建予园 ,2室1厅,83.81,625,74574,,南,精装,有电梯,中楼层(共16层)1999年建塔楼,,-
东城,建予园 ,2室1厅,83.81,625,74574,房本满五年,南,精装,有电梯,中楼层(共16层)1999年建塔楼,,-
东城,朝阳门北小街 ,2室1厅,81.28,980,120571,房本满五年,东西,精装,无电梯,高楼层(共6层)2003年建板楼,,-
东城,悠胜美苑 ,3室2厅,127.75,1000,78278,房本满五年,东南,精装,有电梯,中楼层(共20层)2002年建板塔结合,,-
东城,民旺园 ,1室1厅,47.61,476,99979,房本满五年,南,精装,无电梯,中楼层(共4层)1994年建板楼,,-
东城,青年湖北里 ,3室1厅,78.66,720,91534,房本满五年,东南北,简装,无电梯,中楼层(共6层)1988年建板楼,,-
东城,豆瓣胡同 ,2室1厅,71.2,950,133427,房本满五年,东西,精装,有电梯,中楼层(共12层)2003年建板楼,,-
东城,建予园 ,2室1厅,77.79,560,71989,房本满五年,东南,简装,有电梯,中楼层(共16层)2001年建塔楼,,-
东城,青年湖东里 ,2室1厅,61.2,642,104902,房本满五年,南北,简装,无电梯,低楼层(共6层)1994年建板楼,,-
东城,春秀路 ,2室1厅,81.38,848,104203,房本满五年,东西,精装,无电梯,低楼层(共6层)1998年建板楼,,-
东城,朝阳门南小街 ,2室1厅,68.04,816,119930,房本满五年,东西,精装,无,低楼层(共11层)2004年建板塔结合,,-
东城,六铺炕 ,1室1厅,43.51,550,126408,房本满五年,南,简装,无电梯,中楼层(共6层)1980年建板楼,,-
东城,法华南里 ,2室1厅,81.5,850,104295,房本满五年,南北,精装,无电梯,低楼层(共6层)1995年建板楼,,-
东城,培新街乙5号院 ,3室1厅,96.64,1000,103477,房本满五年,西南,精装,有电梯,低楼层(共17层)1999年建塔楼,,-
东城,朝阳门北大街 ,2室1厅,57.05,485,85014,房本满五年,西南,简装,有电梯,高楼层(共16层)1987年建塔楼,,-
东城,水上华城 ,1室1厅,67.5,715,105926,房本满五年,西,精装,有电梯,中楼层(共22层)2006年建板塔结合,,-
东城,东花市北里中区 ,2室2厅,126.55,1265,99961,房本满五年,南北,精装,有电梯,低楼层(共6层)1990年建板楼,,-
东城,远洋德邑 ,2室1厅,106.28,1060,99737,房本满五年,东,精装,有电梯,中楼层(共14层)2002年建板塔结合,,-
东城,安化北里 ,3室1厅,57.16,570,99721,房本满五年,南北,简装,无电梯,高楼层(共6层)1980年建板楼,,-
东城,西营房 ,2室1厅,85.12,800,93985,房本满五年,东,精装,有电梯,中楼层(共19层)2006年建塔楼,,-
东城,青年湖北里 ,2室1厅,75.43,800,106059,房本满五年,西南,精装,有电梯,低楼层(共18层)1999年建塔楼,,-
东城,上龙西里 ,3室2厅,185.6,1856,100000,房本满五年,西南,毛坯,有电梯,顶层(共18层)1996年建塔楼,,-
东城,东环居苑 ,2室2厅,99.23,850,85660,房本满五年,东南,精装,有电梯,低楼层(共18层)2004年建塔楼,,-
东城,新景家园东区 ,2室1厅,81.44,900,110511,房本满五年,南北,精装,有电梯,底层(共18层)2005年建板塔结合,,-
东城,左安浦园 ,2室1厅,75.15,598,79575,,西北,精装,有电梯,低楼层(共18层)2004年建板楼,,-
东城,海晟名苑 ,3室1厅,148.43,1850,124638,,东西,精装,有电梯,中楼层(共22层)2003年建板塔结合,,-
东城,水上华城 ,2室2厅,143.89,1198,83259,,东,精装,有电梯,底层(共20层)2004年建板塔结合,,-
东城,营房西街 ,1室1厅,43.41,412,94910,,东北,简装,无电梯,中楼层(共6层)1992年建板楼,,-
东城,绿景苑 ,3室2厅,155.88,1500,96228,,南西北,简装,有电梯,低楼层(共14层)1999年建板楼,,-
东城,国瑞城中区 ,3室2厅,139.36,1758,126149,,东南,精装,无,中楼层(共16层)2006年建板楼,,-
东城,南门仓胡同 ,2室1厅,79.97,980,122546,,东西,简装,无电梯,低楼层(共6层)2003年建板楼,,-
东城,南门仓胡同 ,2室1厅,79.97,980,122546,房本满五年,东西,简装,无电梯,低楼层(共6层)2003年建板楼,,-
东城,雍和家园一期 ,2室1厅,97.04,940,96868,房本满五年,西南,简装,有电梯,高楼层(共16层)2001年建板塔结合,,-
